project_id,project_url,issue_iid,issue_id,title,state,created_at,updated_at,closed_at,labels,milestone_title,milestone_id,assignees,weight,time_estimate,total_time_spent,has_related_mrs,web_url
1148549,https://gitlab.com/gitlab-com/runbooks,200,188214105,Add recording rules and dashboard support for canonical UX SLI registry entries,opened,2026-04-13T07:39:02.789Z,2026-04-13T16:42:58.340Z,,automation:ml,,,,,0,0,,https://gitlab.com/gitlab-com/runbooks/-/work_items/200
1148549,https://gitlab.com/gitlab-com/runbooks,198,187363960,Guidelines on how to respond to Sidekiq alerts in Slack channel,closed,2026-03-31T18:12:16.857Z,2026-04-06T14:57:18.214Z,2026-04-06T14:57:18.203Z,automation:ml,,,,,0,0,,https://gitlab.com/gitlab-com/runbooks/-/work_items/198
1148549,https://gitlab.com/gitlab-com/runbooks,199,187475233,Create internal runbooks and test plans for registry prefer mode,closed,2026-04-01T13:58:54.936Z,2026-04-03T11:19:32.168Z,2026-04-03T11:15:07.004Z,"Category:Container Registry, devops::package, documentation, group::container registry, section::ci, type::maintenance",,,hswimelar,,0,0,,https://gitlab.com/gitlab-com/runbooks/-/work_items/199
1148549,https://gitlab.com/gitlab-com/runbooks,23,20620519,Monitoring does not seem to detect when a PostgreSQL replica crashes,closed,2019-03-18T21:23:36.822Z,2026-04-01T16:46:31.320Z,2019-05-17T05:05:40.047Z,Database,,,,,0,0,,https://gitlab.com/gitlab-com/runbooks/-/work_items/23
1148549,https://gitlab.com/gitlab-com/runbooks,195,184949082,Remove `code-gecko` GCP quota saturation monitoring from `gcp_quota_limit.libsonnet`,closed,2026-02-23T21:05:35.021Z,2026-03-06T17:43:21.716Z,2026-03-01T14:20:18.791Z,"ai-spring-cleaning, automation:ml, backend, devops::ai-powered, group::ai framework, maintenance::removal, section::ai, type::maintenance, workflow::in review",18.10,5975346.0,nateweinshenker,1.0,0,0,,https://gitlab.com/gitlab-com/runbooks/-/work_items/195
1148549,https://gitlab.com/gitlab-com/runbooks,196,184977288,Make log-based DWS dashboard permanent,closed,2026-02-24T08:17:13.315Z,2026-02-25T02:57:40.325Z,2026-02-25T02:57:40.318Z,"automation:ml, group::Observability, type::feature",,,,,0,0,,https://gitlab.com/gitlab-com/runbooks/-/work_items/196
1148549,https://gitlab.com/gitlab-com/runbooks,197,185033311,Code log-based DWS dashboard into Runbook repo,opened,2026-02-25T02:54:34.175Z,2026-02-25T02:57:02.091Z,,"automation:ml, devops::production_engineering, group::Observability, section::saas production engineering, type::feature",,,,,0,0,,https://gitlab.com/gitlab-com/runbooks/-/work_items/197
1148549,https://gitlab.com/gitlab-com/runbooks,194,182554746,Create Basic Dependency Health Dashboard (MVC),opened,2026-02-05T18:08:55.278Z,2026-02-05T19:02:40.144Z,,"Category:Dependency Management, automation:ml, backend, feature::addition, frontend, type::feature",,,,,0,0,,https://gitlab.com/gitlab-com/runbooks/-/work_items/194
1148549,https://gitlab.com/gitlab-com/runbooks,187,175835854,Add an alert which fires when zoekt nodes goes offline,closed,2025-10-24T10:50:04.337Z,2026-01-19T20:11:57.010Z,2026-01-19T20:08:13.420Z,"Deliverable, Service::Zoekt, devops::ai-powered, group::global search, section::ai, type::maintenance",18.9,5975345.0,rkumar555,,0,0,,https://gitlab.com/gitlab-com/runbooks/-/work_items/187
1148549,https://gitlab.com/gitlab-com/runbooks,193,181416123,Replace ZoektNodesOffline alert with a proper SLI,opened,2026-01-19T14:29:01.702Z,2026-01-19T14:29:32.469Z,,"Service::Zoekt, devops::ai-powered, group::global search, section::ai, type::maintenance",,,,,0,0,,https://gitlab.com/gitlab-com/runbooks/-/work_items/193
